,ECO,fen,moves,opening_name
0,B02,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,1. e4 Nf6,Alekhine Defense
1,B03,rnbqkb1r/pppppppp/8/3nP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4,"Alekhine Defense, 2. e5 Nd5 3. d4"
2,B03,rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6,"Alekhine Defense, 2. e5 Nd5 3. d4 d6"
3,B03,rnbqkb1r/ppp1pppp/3p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4,"Alekhine Defense, 3. d4 d6 4. c4"
4,B03,rnbqkb1r/ppp1pppp/3p4/3nP3/2BP4/8/PPP2PPP/RNBQK1NR b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Bc4,Alekhine Defense: Balogh Variation
5,B02,rnbqkbnr/pppppppp/8/4P3/8/8/PPPP1PPP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Ng8,Alekhine Defense: Brooklyn Variation
6,B02,rnbqkbnr/ppppp1pp/8/4Pp2/3P4/8/PPP2PPP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Ng8 3. d4 f5,"Alekhine Defense: Brooklyn Variation, Everglades Variation"
7,B03,rnbqkb1r/pppppppp/8/3nP3/8/N7/PPPP1PPP/R1BQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. Na3,Alekhine Defense: Buckley Attack
8,B03,rnbqkb1r/ppp1pppp/1n1P4/8/2PP4/8/PP3PPP/RNBQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6,Alekhine Defense: Exchange Variation
9,B03,r2q1rk1/pp2ppbp/1nnp2p1/5b2/2PP1B2/2N2N1P/PP2BPP1/R2Q1RK1 b -,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nc3 g6 7. h3 Bg7 8. Nf3 O-O 9. Be2 Nc6 10. O-O Bf5 11. Bf4,"Alekhine Defense: Exchange Variation, Karpov Variation"
10,B03,rnbqkb1r/ppp1pppp/1n1p4/4P3/2PP1P2/8/PP4PP/RNBQKBNR b KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4,Alekhine Defense: Four Pawns Attack
11,B03,r1bqkb1r/ppp1pppp/1nn5/4P3/2PP4/8/PP4PP/RNBQKBNR w KQkq,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6,"Alekhine Defense: Four Pawns Attack, 6... Nc6"
